#Elist Carrier_QAH Carrier_Axion
1.511278195488721110e+00 1.479909549110207223e+00 1.235464583138844219e+00
1.526315789473684070e+00 1.526652855051899849e+00 1.274486709780401128e+00
1.541353383458646142e+00 1.573983549180425712e+00 1.313983537412212854e+00
1.556390977443609103e+00 1.621884973186682899e+00 1.353944376856480503e+00
1.571428571428571175e+00 1.670342718181666797e+00 1.394360072320287358e+00
1.586466165413533247e+00 1.719344440262098317e+00 1.435222804275635866e+00
1.601503759398496207e+00 1.768879671639568940e+00 1.476525907937272564e+00
1.616541353383458279e+00 1.818939639646650619e+00 1.518263718867498113e+00
1.631578947368421240e+00 1.869517102180518364e+00 1.560431451586113738e+00
1.646616541353383312e+00 1.920606204104732484e+00 1.603025111371589873e+00
1.661654135338345384e+00 1.972202355178142241e+00 1.646041434421857019e+00
1.676691729323308344e+00 2.024302126591649653e+00 1.689477847815064493e+00
1.691729323308270416e+00 2.076903160509630197e+00 1.733332438700236011e+00
1.706766917293232488e+00 2.130004085401177250e+00 1.777603922033080153e+00
1.721804511278195449e+00 2.183604429568672955e+00 1.822291597855567602e+00
1.736842105263157521e+00 2.237704526166870878e+00 1.867395292241734950e+00
1.751879699248119593e+00 2.292305405038613131e+00 1.912915280033868015e+00
1.766917293233082553e+00 2.347408669616132926e+00 1.958852191693237543e+00
1.781954887218044625e+00 2.403016360572463483e+00 2.005206910296742251e+00
1.796992481203007586e+00 2.459130811398013705e+00 2.051980467330528413e+00
1.812030075187969658e+00 2.515754504135790270e+00 2.099173947056897305e+00
1.827067669172931730e+00 2.572889935679393503e+00 2.146788408704638940e+00
1.842105263157894690e+00 2.630539505955054480e+00 2.194824833667993857e+00
1.857142857142856762e+00 2.688705438749934729e+00 2.243284101656220386e+00
1.872180451127819723e+00 2.747389743870623846e+00 2.292166995858853085e+00
1.887218045112781795e+00 2.806594225870661319e+00 2.341474233318239229e+00
1.902255639097743867e+00 2.866320540114474014e+00 2.391206513454783078e+00
1.917293233082706827e+00 2.926570291941947843e+00 2.441364575579676455e+00
1.932330827067668899e+00 2.987345169757867680e+00 2.491949255566897392e+00
1.947368421052630971e+00 3.048647098618101126e+00 2.542961532708904571e+00
1.962406015037593932e+00 3.110478397895263925e+00 2.594402559967210919e+00
1.977443609022556004e+00 3.172841925332438251e+00 2.646273673954858907e+00
